sequence_id,from_state_id,action_id,to_state_id,longitude,latitude
0,17259,1,17260,-73.0,41.405
0,17260,-1,-1,-73.0,41.405
1,364,2,901,55.276,25.254
1,901,2,1438,55.75,25.75
1,1438,2,1975,56.25,26.25
1,1975,2,2512,56.75,26.75
1,2512,2,3049,57.25,27.25
1,3049,2,3586,57.75,27.75
1,3586,2,4123,58.25,28.25
1,4123,2,4660,58.75,28.75
1,4660,2,5197,59.25,29.25
1,5197,2,5734,59.75,29.75
1,5734,2,6271,60.25,30.25
1,6271,2,6808,60.75,30.75
1,6808,2,7345,61.25,31.25
1,7345,2,7882,61.75,31.75
1,7882,2,8419,62.25,32.25
1,8419,2,8956,62.75,32.75
1,8956,2,9493,63.25,33.25
1,9493,2,10030,63.75,33.75
1,10030,2,10567,64.25,34.25
1,10567,2,11104,64.75,34.75
1,11104,1,11105,65.25,35.25
1,11105,1,11106,65.75,35.25
1,11106,1,11107,66.25,35.25
1,11107,1,11108,66.75,35.25
1,11108,1,11109,67.25,35.25
1,11109,1,11110,67.75,35.25
1,11110,1,11111,68.25,35.25
1,11111,1,11112,68.75,35.25
1,11112,1,11113,69.25,35.25
1,11113,1,11114,69.75,35.25
1,11114,1,11115,70.25,35.25
1,11115,1,11116,70.75,35.25
1,11116,1,11117,71.25,35.25
1,11117,1,11118,71.75,35.25
1,11118,1,11119,72.25,35.25
1,11119,1,11120,72.75,35.25
1,11120,1,11121,73.25,35.25
1,11121,1,11122,73.75,35.25
1,11122,1,11123,74.25,35.25
1,11123,1,11124,74.75,35.25
1,11124,1,11125,75.25,35.25
1,11125,1,11126,75.75,35.25
1,11126,1,11127,76.25,35.25
1,11127,1,11128,76.75,35.25
1,11128,1,11129,77.25,35.25
1,11129,1,11130,77.75,35.25
1,11130,1,11131,78.25,35.25
1,11131,1,11132,78.75,35.25
1,11132,1,11133,79.25,35.25
1,11133,1,11134,79.75,35.25
1,11134,1,11135,80.25,35.25
1,11135,1,11136,80.75,35.25
1,11136,1,11137,81.25,35.25
1,11137,1,11138,81.75,35.25
1,11138,1,11139,82.25,35.25
1,11139,1,11140,82.75,35.25
1,11140,1,11141,83.25,35.25
1,11141,1,11142,83.75,35.25
1,11142,1,11143,84.25,35.25
1,11143,1,11144,84.75,35.25
1,11144,1,11145,85.25,35.25
1,11145,1,11146,85.75,35.25
1,11146,1,11147,86.25,35.25
1,11147,1,11148,86.75,35.25
1,11148,1,11149,87.25,35.25
1,11149,1,11150,87.75,35.25
1,11150,1,11151,88.25,35.25
1,11151,1,11152,88.75,35.25
1,11152,1,11153,89.25,35.25
1,11153,1,11154,89.75,35.25
1,11154,1,11155,90.25,35.25
1,11155,1,11156,90.75,35.25
1,11156,1,11157,91.25,35.25
1,11157,1,11158,91.75,35.25
1,11158,1,11159,92.25,35.25
1,11159,1,11160,92.75,35.25
1,11160,1,11161,93.25,35.25
1,11161,1,11162,93.75,35.25
1,11162,1,11163,94.25,35.25
1,11163,1,11164,94.75,35.25
1,11164,1,11165,95.25,35.25
1,11165,1,11166,95.75,35.25
1,11166,1,11167,96.25,35.25
1,11167,1,11168,96.75,35.25
1,11168,1,11169,97.25,35.25
1,11169,1,11170,97.75,35.25
1,11170,1,11171,98.25,35.25
1,11171,1,11172,98.75,35.25
1,11172,1,11173,99.25,35.25
1,11173,1,11174,99.75,35.25
1,11174,1,11175,100.25,35.25
1,11175,1,11176,100.75,35.25
1,11176,1,11177,101.25,35.25
1,11177,1,11178,101.75,35.25
1,11178,1,11179,102.25,35.25
1,11179,1,11180,102.75,35.25
1,11180,1,11181,103.25,35.25
1,11181,1,11182,103.75,35.25
1,11182,1,11183,104.25,35.25
1,11183,1,11184,104.75,35.25
1,11184,1,11185,105.25,35.25
1,11185,1,11186,105.75,35.25
1,11186,1,11187,106.25,35.25
1,11187,1,11188,106.75,35.25
1,11188,1,11189,107.25,35.25
1,11189,1,11190,107.75,35.25
1,11190,1,11191,108.25,35.25
1,11191,1,11192,108.75,35.25
1,11192,1,11193,109.25,35.25
1,11193,1,11194,109.75,35.25
1,11194,1,11195,110.25,35.25
1,11195,1,11196,110.75,35.25
1,11196,1,11197,111.25,35.25
1,11197,1,11198,111.75,35.25
1,11198,1,11199,112.25,35.25
1,11199,1,11200,112.75,35.25
1,11200,1,11201,113.25,35.25
1,11201,1,11202,113.75,35.25
1,11202,1,11203,114.25,35.25
1,11203,1,11204,114.75,35.25
1,11204,1,11205,115.25,35.25
1,11205,1,11206,115.75,35.25
1,11206,1,11207,116.25,35.25
1,11207,1,11208,116.75,35.25
1,11208,1,11209,117.25,35.25
1,11209,1,11210,117.75,35.25
1,11210,1,11211,118.25,35.25
1,11211,1,11212,118.75,35.25
1,11212,1,11213,119.25,35.25
1,11213,1,11214,119.75,35.25
1,11214,1,11215,120.25,35.25
1,11215,1,11216,120.75,35.25
1,11216,1,11217,121.25,35.25
1,11217,1,11218,121.75,35.25
1,11218,1,11219,122.25,35.25
1,11219,1,11220,122.75,35.25
1,11220,1,11221,123.25,35.25
1,11221,1,11222,123.75,35.25
1,11222,1,11223,124.25,35.25
1,11223,1,11224,124.75,35.25
1,11224,1,11225,125.25,35.25
1,11225,1,11226,125.75,35.25
1,11226,1,11227,126.25,35.25
1,11227,1,11228,126.75,35.25
1,11228,1,11229,127.25,35.25
1,11229,1,11230,127.75,35.25
1,11230,1,11231,128.25,35.25
1,11231,1,11232,128.75,35.25
1,11232,1,11233,129.25,35.25
1,11233,1,11234,129.75,35.25
1,11234,1,11235,130.25,35.25
1,11235,1,11236,130.75,35.25
1,11236,1,11237,131.25,35.25
1,11237,1,11238,131.75,35.25
1,11238,1,11239,132.25,35.25
1,11239,1,11240,132.75,35.25
1,11240,1,11241,133.25,35.25
1,11241,1,11242,133.75,35.25
1,11242,1,11243,134.25,35.25
1,11243,1,11244,134.75,35.25
1,11244,1,11245,135.25,35.25
1,11245,1,11246,135.75,35.25
1,11246,1,11247,136.25,35.25
1,11247,1,11248,136.75,35.25
1,11248,1,11249,137.25,35.25
1,11249,1,11250,137.75,35.25
1,11250,1,11251,138.25,35.25
1,11251,1,11252,138.75,35.25
1,11252,1,11253,139.25,35.25
1,11253,-1,-1,139.664,35.29
2,16918,2,17455,24.411,40.935
2,17455,2,17992,24.75,41.25
2,17992,2,18529,25.25,41.75
2,18529,2,19066,25.75,42.25
2,19066,2,19603,26.25,42.75
2,19603,2,20140,26.75,43.25
2,20140,2,20677,27.25,43.75
2,20677,2,21214,27.75,44.25
2,21214,2,21751,28.25,44.75
2,21751,2,22288,28.75,45.25
2,22288,2,22825,29.25,45.75
2,22825,1,22826,29.75,46.25
2,22826,1,22827,30.25,46.25
2,22827,6,22290,30.747,46.492
2,22290,6,21753,30.25,45.75
